Product ID,UPC ID,Category,Department,Product,Price,Sale Price,Unit Price,Unit
1000144509295,5057172014880,"Fruit, Veg & Flowers",Fruit,ASDA Garden Gang Amazing Apples (Colour may vary),£1.00,£1.00,16.7p/each,Each
1000286008883,5057172621033,"Fruit, Veg & Flowers",Fruit,ASDA Farm Stores 6 Gala Apples,£0.90,£0.90,15.0p/each,Each
910002849516,5054781401261,"Fruit, Veg & Flowers",Fruit,ASDA Zingy & Crisp Braeburn Apples,£1.50,£1.50,25.0p/each,Each
910002849538,5054781401100,"Fruit, Veg & Flowers",Fruit,ASDA Tart & Juicy Granny Smith Apples,£1.50,£1.50,25.0p/each,Each
910001037283,5052449894134,"Fruit, Veg & Flowers",Fruit,Pink Lady Apples,£2.00,£2.00,50.0p/each,Each
910000899721,5052449702903,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Apples (Colour and Variety may vary),£2.00,£2.00,£1.67/kg,Each
1000383109063,5060008093638,"Fruit, Veg & Flowers",Fruit,Parrs Jubilee Candy Apple with Sugar Strands,£0.69,£0.69,69.0p/each,Each
910003095147,5054781580829,"Fruit, Veg & Flowers",Fruit,ASDA Farm Stores Pears (Colour and Variety may vary),£0.52,£0.45,90.0p/kg,Each
1000214281993,5057172286041,"Fruit, Veg & Flowers",Fruit,ASDA Sweet & Delicate Conference Pears ,£1.80,£1.80,45.0p/each,Each
910003058935,5054781538363,"Fruit, Veg & Flowers",Fruit,ASDA Sweet & Delicate Conference Pears (Ripen at Home),£1.60,£1.60,40.0p/each,Each
1000172502374,5057172015122,"Fruit, Veg & Flowers",Fruit,ASDA Garden Gang Incredible Pears,£1.00,£1.00,20.0p/each,Each
910000899444,5052449702910,"Fruit, Veg & Flowers",Fruit,ASDA Grower's Selection Pears (Colour and Variety may vary),£2.00,£2.00,£1.67/kg,Each
442414,5051413874431,"Fruit, Veg & Flowers",Fruit,ASDA Tangy & Crunchy Rhubarb ,£1.20,£1.20,£3.00/kg,Each
910003053098,5054781513254,"Fruit, Veg & Flowers",Fruit,ASDA Extra Special Seasonal Selection Pears (Colour and Variety may vary),£2.00,£2.00,50.0p/each,Each
1527145,8717163540213,Laundry & Household,Household & Cleaning,Domestos Thick Bleach Pink Power,£0.99,£0.99,£1.32/lt,Each
1000192317676,5010394003575,Pet Food & Accessories,Dog Food & Accessories,Pedigree Schmackos Strips Adult Dog Treats Fish Mix,£1.00,£1.00,£6.94/kg,Each
1000289208831,5060033823675,Laundry & Household,Household & Cleaning,Stardrops The Pink Stuff The Miracle Cream Cleaner,£0.99,£0.99,£1.98/lt,Each
1000150900149,48256299557,Laundry & Household,Household & Cleaning,Astonish Mould & Mildew Blaster Spray,£0.99,£0.99,£1.32/lt,Each
1000192317794,5010394003834,Pet Food & Accessories,Dog Food & Accessories,Pedigree Rodeo Adult Dog Treats Chicken,£1.00,£1.00,£8.13/kg,Each
1000250342492,8712561599337,Laundry & Household,Household & Cleaning,Cif Ultrafast Bathroom Spray,£0.98,£0.98,£2.18/lt,Each
