Category,Product Code,EAN Code,Product Name,Product Size,RRP,Price,VAT,Stock Service,Brand,Description,On Promo
"Household, Cleaning & Pet Care",414467,5011417769782	,HARPIC WHITE & SHINE,12 x 750mls,£1.05,£8.29,20.0%,In Stock,SHS Distributors,Harpic White & Shine Bleach Original 750ml,No
"Household, Cleaning & Pet Care",915644,7613035550025	,GOURMET PERLE CHICKEN 2F1.00,26X85GRM,£0.50,£8.39,20.0%,In Stock,Nestle Purina UK Commerical Op,Gourmet Perle Mini Fillets in Gravy with Chicken 85g,No
"Household, Cleaning & Pet Care",413432,5011417559789	,HARPIC ACTIVE PINK,12 x 750mls,£1.05,£8.49,20.0%,In Stock,Harpic,Harpic Active Fresh Pink Blossom 750ml,No
"Household, Cleaning & Pet Care",761817,5000204625158	,TOILET DUCK OCEAN 4IN1,8 x 750mls,£1.15,£5.49,20.0%,In Stock,Duck,Duck Toilet Liquid Cleaner Marine 750ml,No
"Household, Cleaning & Pet Care",916740,8720182374851	,DOMESTOS PINK 1.25,9 x 750mls,£1.25,£5.49,20.0%,In Stock,Unilever Ireland Homecare,Domestos Pink Power Thick Bleach 750 ml PMP,No
"Household, Cleaning & Pet Care",683368,5000204505238	,GLADE SILVER FRESH LAUNDRY,NA,NA,NA,20.0%,Out of Stock,Glade,Glade Aerosol Soft Cotton Air Freshener 300ml,No
"Household, Cleaning & Pet Care",916739,8720182384805	,DOMESTOS CITRUS 1.25,9 x 750mls,£1.25,£5.49,20.0%,In Stock,Unilever Ireland Homecare,Domestos Citrus Fresh Thick Bleach 750 ml PMP,No
"Household, Cleaning & Pet Care",761818,5000204625189	,TOILET DUCK PINE 4IN1,NA,NA,NA,20.0%,Out of Stock,Duck,Duck Toilet Liquid Cleaner Pine 750ml,No
"Household, Cleaning & Pet Care",916738,8720182374868	,DOMESTOS BLUE 1.25,9 x 750mls,£1.25,£5.49,20.0%,In Stock,Unilever Ireland Homecare,Domestos Original Thick Bleach 750 ml PMP,No
"Household, Cleaning & Pet Care",796328,5029053571539	,ANDREX GENTLE CLEAN,1 x 16pk,£8.99,£5.29,20.0%,In Stock,Kimberley Clark Ltd,www.andrex.co.uk,No
"Household, Cleaning & Pet Care",794839,5029053578231	,ANDREX,4X9PK,£5.99,£13.99,20.0%,In Stock,Kimberley Clark Ltd,Find your feeling of clean at www.andrex.co.uk,No
"Household, Cleaning & Pet Care",683508,7322540944600	,CUSHELLE QUILTED,5X9PK,£5.49,£15.99,20.0%,In Stock,SCA Hygiene Ltd,Cushelle Ultra Quilted Toilet Roll 9 Rolls,No
"Household, Cleaning & Pet Care",915917,8445290094629	,BAKERS ALLSORTS 1.19,6X98GRM,£1.19,£3.89,20.0%,In Stock,Nestle Purina UK Commerical Op,"Bakers Allsorts Delicious Bite Size Treats Flavoured with Chicken, Beef & Lamb 98g",No
"Household, Cleaning & Pet Care",639579,7322540910728	,PLENTY KITCHEN ROLL 200 SHEETS,4 x 2pk,£3.99,£9.59,20.0%,In Stock,SCA Hygiene Ltd,Plenty White Kitchen Roll 200 Sheets,No
"Household, Cleaning & Pet Care",775666,8720181106101	,SURF LAVENDAR 2.49,7X500GRM,£2.49,£10.49,20.0%,In Stock,Unilever Ireland Homecare,Surf Lavender Washing Powder 10 Wash 500g,No
"Household, Cleaning & Pet Care",775663,8720181104305	,SURF TROPICAL 2.49,7X500GRM,£2.49,£10.49,20.0%,In Stock,Unilever Ireland Homecare,NA,No
"Household, Cleaning & Pet Care",173460,7322540611717	,PLENTY THE EXTRA BIG ONE,8X1PK,£3.39,£13.79,20.0%,In Stock,Plenty,Plenty MAX The Extra Big One 1 roll,No
"Household, Cleaning & Pet Care",775532,8720181106194	,PERSIL NON BIO 2.99,7X500GRM,£2.99,£14.29,20.0%,In Stock,Unilever Ireland Homecare,NA,No
"Household, Cleaning & Pet Care",760791,5900951282591	,WHISKAS 7+PD POULTRY 4.25,NA,NA,NA,20.0%,Out of Stock,Mars Pet Care UK Ltd,Whiskas Pure Delight Senior Cat Food Pouches Poultry in Jelly 12x 85g £4.25,No
"Household, Cleaning & Pet Care",409072,8711600340039	,COMFORT PURE 1.99,8 x 750mls,£1.99,£7.29,20.0%,In Stock,Unilever Ireland Homecare,"Cleaner Planet PlanComfort Concentrate uses over 50% less packaging per wash compared to Comfort Regular, so not only are your clothes left feeling soft and smelling fresh, you're helping to care for the environment as well.To find out more visit: www.cleanerplanetplan.comwww.sustainable-cleaning.com",No
"Household, Cleaning & Pet Care",765029,7322541166131	,VELVET QUILTS,1 x 24pk,£9.99,£6.29,20.0%,In Stock,SCA Hygiene Ltd,Velvet Classic Quilted 24 Toilet Rolls,No
"Household, Cleaning & Pet Care",500880,7322540237030	,VELVET COMFORT,1 x 16pk,£7.59,£4.39,20.0%,In Stock,SCA Hygiene Ltd,Velvet Comfort 16 Toilet Rolls,No
Retail Grocery,572831,5000354770005	,ANGEL DELIGHT STRAWBERRY,21X51GRM,£0.69,£9.99,0.0%,In Stock,Angel Delight,Join us on www.facebook.com/angeldelightdesserts,No
"Household, Cleaning & Pet Care",760793,3065890145221	,WHISKAS 1+PD POULTRY 4.25,4X85GRM,£4.25,£11.19,20.0%,In Stock,Mars Pet Care UK Ltd,Whiskas Pure Delight Cat Food Pouches Poultry in Jelly 12 x 85g PMP £4.25,No
Retail Grocery,530038,5000243726458	,HARTLEYS SF S/BERRY JELLY TWIN,12 x 26grm,£1.00,£9.29,0.0%,In Stock,Jaymark,Hartley's Strawberry Flavour Jelly Sugar Free Twin Pack 23g,No
Retail Grocery,530985,5000354160936	,HARTLEYS SF RASPBERRY JELLY,12X24GRM,£1.00,£9.29,0.0%,In Stock,Hartley's,Hartley's Raspberry Flavour Jelly Sugar Free Twin Pack 23g,No
Retail Grocery,568098,24000124962	,D/M PEAR HALVES JUICE,12 x 415grm,£1.39,£12.15,0.0%,In Stock,Jaymark,"Follow us on Facebook, Twitter, Instagram and Pinterestdelmonteeurope.com",No
Retail Grocery,529728,50126033	,HARTLEYS RTE RASPBERRY JELLY,12 x 125grm,£0.65,£5.99,0.0%,In Stock,Hartley's,Hartley's Jelly Raspberry Flavour 125g,No
Retail Grocery,529718,50126057	,HARTLEYS RTE ORANGE JELLY,12 x 125grm,£0.65,£5.99,0.0%,In Stock,Hartley's,Hartley's Jelly Orange Flavour 125g,No
Retail Grocery,444094,5000171056030	,JOHN WEST TUNA STEAK BRINE,12 x 160grm,£1.89,£16.99,0.0%,In Stock,Stafford Lynch,100% Traceablejohn-west.comTrack Your Can,No
Retail Grocery,444093,5000171056047	,JOHN WEST TUNA STEAK OIL,12 x 160grm,£1.89,£16.99,0.0%,In Stock,Stafford Lynch,100% TraceableTrack your can john-west.co.uk,No
Retail Grocery,529738,50126064	,HARTLEYS RTE STRAWBERRY JELLY,12 x 125grm,£0.65,£5.99,0.0%,In Stock,Hartley's,Hartley's Jelly Strawberry Flavour 125g,No
Alcohol & Tobacco,696710,3086123268104	,BIC LIGHTER UTILITY U140,1X1PK,£4.99,£2.69,20.0%,In Stock,BIC UK LTD,"BIC Megalighter Multi Utility Lighters - Assorted Colours, Pack of 1",No
Alcohol & Tobacco,799239,5000143910636	,STERLING RYO ESSENTIAL NI,5 x 50grm,£22.35,£85.85,20.0%,In Stock,Gallaher Ltd,Sterling Rolling Tobacco Essential Pouches 5 x 50g,No
Alcohol & Tobacco,779095,5000143997927	,STERLING RYO NI,5X30GRM,£14.60,£56.79,20.0%,In Stock,Gallaher Ltd,Sterling Rolling Tobacco 5 x 30g,No
Alcohol & Tobacco,791700,5000143906936	,STERLING RYO ESSENTIAL NI,5X30GRM,£13.65,£52.99,20.0%,In Stock,Gallaher Ltd,Sterling Rolling Tobacco Essential 30g,No
Alcohol & Tobacco,779094,5000143998726	,STERLING RYO NI,5 x 50grm,£23.95,£93.09,20.0%,In Stock,Gallaher Ltd,Sterling Rolling Tobacco 50g,No
Alcohol & Tobacco,779300,5000433025828	,JPS PLAYERS RYO NI,5X30GRM,£13.65,£53.35,20.0%,In Stock,Imperial Tobacco Ltd,JPS Players Easy Rolling Including Cigarette Papers 30g,No
Alcohol & Tobacco,779088,5000143916317	,STERLING 3IN1 RYO NI,5X30GRM,£14.70,£57.05,20.0%,In Stock,Gallaher Ltd,Sterling Rolling Tobacco 3 in 1 30g,No
Alcohol & Tobacco,916646,5000143970524	,MAYFIAR KS SILVER,10 x 20pk,£10.15,£80.59,20.0%,In Stock,Gallaher Ltd,Mayfair 20 Cigarettes Silver,No
Alcohol & Tobacco,916645,5000143949131	,MAYFAIR SILVER SK,10 x 20pk,£10.15,£80.59,20.0%,In Stock,Gallaher Ltd,Mayfair 20 Cigarettes Superkings Silver,No
Alcohol & Tobacco,778835,5000435014295	,RIVERSTONE RYO NI,5X30GRM,£13.65,£53.39,20.0%,In Stock,Imperial Tobacco Ltd,Riverstone Easy Rolling Including Cigarette Papers 30g,No
Alcohol & Tobacco,914806,5000435016398	,RICHMOND SK ORIGINAL,10 x 20pk,£10.15,£81.85,20.0%,In Stock,Imperial Tobacco Ltd,Richmond Original Superkings 20,No
Alcohol & Tobacco,914805,5000435016428	,RICHMOND SK BRIGHT NI,10 x 20pk,£10.15,£81.85,20.0%,In Stock,Imperial Tobacco Ltd,Richmond Bright Superkings 20,No
"Health, Beauty & Baby",446257,3014260201753	,GILLETTE BLUE 2 FIXED,6X5PK,£2.29,£7.99,20.0%,In Stock,Gillette,Gillette BlueII Men's Disposable Razors x5,No
"Health, Beauty & Baby",660419,7702018980932	,GILL SHAVE FOAMY SENSTITIVE,6 x 200mls,£1.55,£5.79,20.0%,In Stock,Gillette,"Gillette Classic Sensitive Shave Foam, For Sensitive Skin, 200ml",No
"Health, Beauty & Baby",755344,3574669907668	,JOHNSON BABY SHAMPOO,6 x 200mls,£1.29,£4.59,20.0%,In Stock,Johnson Brothers,Johnson's Baby Shampoo 200ml,No
"Health, Beauty & Baby",479086,4015400689331	,PAMPERS BD CP EX LARGE 19PK,4X19PK,£7.99,£23.29,0.0%,In Stock,Interactive Irl Ltd,"Pampers Baby-Dry Size 6, 19 Nappies, 13kg-18kg, Carry  Pack",No
"Health, Beauty & Baby",701767,3574660026757	,JOHNSONS BABY POWDER,6 x 200grm,£1.25,£4.59,20.0%,In Stock,Johnson's,JOHNSON'S® Baby Powder 200g,No
"Health, Beauty & Baby",411542,4015400601876	,PAMPERS BD C/P MIDI,4X30PK,£7.99,£23.29,0.0%,In Stock,Pampers,"Pampers Baby-Dry Size 3, 30 Nappies, 6kg-10kg, Carry Pack",No
"Health, Beauty & Baby",179243,4015400542940	,PAMPERS BD C/P JUNIOR 23PK,4X23PK,£7.99,£23.29,0.0%,In Stock,Pampers,"Pampers Baby-Dry Size 5, 23 Nappies, 11kg-16kg, Carry  Pack",No
"Health, Beauty & Baby",479085,4015400689263	,PAMPERS BD CP MAXI 25PK,4X25PK,£7.99,£23.29,0.0%,In Stock,Interactive Irl Ltd,"Pampers Baby-Dry Size 4, 25 Nappies, 9kg-14kg, Carry Pack",No
"Health, Beauty & Baby",747007,3574661440477	,JOHNSONS COTTON BUDS,6X200PK,£1.29,£4.59,20.0%,In Stock,Johnson Brothers,"Did you know?- By removing the plastic from our packaging we will save the equivalent of about 30 million plastic  bags annually.*- If we tied those bags together, the length  would be more than the earth's diameter!*- We've also improved our carbon footprint.For more information visit: https://www.johnsonsbaby.co.uk/johnsons-baby-cotton-buds*based on 2019 sales volume in Europe, Middle East and Africa, and a 10g plastic bag that is 45cm long",No
Frozen Goods,916281,5391533073346	,DIGGERS BUTTERMILK FILLETS,5 x 1kgm,NA,£41.55,0.0%,In Stock,Pan Euro Foods,NA,No
Frozen Goods,767056,5019312094213	,C/T TIGER CRUST CHEESY HAM PIZZA,1X315GRM,£2.75,£2.25,0.0%,In Stock,Musgrave Retail Partners,Like us? For great offers and competitions follow us on social media or get updates direct to your inbox at chicagotown.com,No
Frozen Goods,767055,5019312094213	,C/T TIGER CRUST CHEESY HAM PIZZA,10X315GRM,£2.75,£22.45,0.0%,In Stock,Musgrave Retail Partners,Like us? For great offers and competitions follow us on social media or get updates direct to your inbox at chicagotown.com,No
Frozen Goods,767054,5019312094220	,C/T TIGER CRUST CHEESE PIZZA,1 x 305grm,£2.75,£2.25,0.0%,In Stock,Musgrave Retail Partners,Like us? For great offers and competitions follow us on social media or get updates direct to your inbox at chicagotown.com,No
Frozen Goods,767052,5019312094206	,C/T TIGER CRUST PEPPERONI PIZZA,1 x 320grm,£2.75,£2.25,0.0%,In Stock,Musgrave Retail Partners,Like us? For great offers and competitions follow us on social media or get updates direct to your inbox at chicagotown.com,No
Frozen Goods,767053,5019312094220	,C/T TIGER CRUST CHEESE PIZZA,10X305GRM,£2.75,£22.45,0.0%,In Stock,Musgrave Retail Partners,Like us? For great offers and competitions follow us on social media or get updates direct to your inbox at chicagotown.com,No
"Health, Beauty & Baby",632271,3574661218069	,JOHNSON BABY OIL,6 x 200mls,£1.29,£4.59,20.0%,In Stock,Johnson Brothers,JOHNSON'S® Baby Oil 200ml,No
Frozen Goods,767051,5019312094206	,C/T TIGER CRUST PEPPERONI PIZZA,10X320GRM,£2.75,£22.45,0.0%,In Stock,Musgrave Retail Partners,Like us? For great offers and competitions follow us on social media or get updates direct to your inbox at chicagotown.com,No
Frozen Goods,792383,5656565655	,BIG ALS BBQ PORK MINI ROLLS,10X340GRM,NA,£27.99,0.0%,In Stock,KEPAK CONVENIENCE FOODS,NA,No
Frozen Goods,753035,5391520188749	,G/FELLAS T/AWAY CHEESE PIZZA,1X553GRM,£3.00,£2.55,0.0%,In Stock,Goodfella's,Welcome to the NeighbourhoodFor a Sustainable TomorrowMaking a difference with responsibly sourced and prepared food every daygoodfellaspizzas.com/our-sustainable-path,No
Frozen Goods,792361,5099556024078	,BIG AL'S MAC N'CHEESE POPS,1 x 1kgm,NA,£8.49,0.0%,In Stock,KEPAK CONVENIENCE FOODS,NA,No
Frozen Goods,753034,5391520188749	,G/FELLAS T/AWAY CHEESE PIZZA,11X553GRM,£3.00,£27.95,0.0%,In Stock,Goodfella's,Welcome to the NeighbourhoodFor a Sustainable TomorrowMaking a difference with responsibly sourced and prepared food every daygoodfellaspizzas.com/our-sustainable-path,No
Catering Dry Goods,121996,7613033487729	,MAGGI RICH + RUSTIC,6 x 3kgm,NA,£31.35,0.0%,In Stock,Maggi,"For free recipe ideas, please visit www.NestleProfessional.co.uk",No
Catering Dry Goods,103877,7613033488146	,MAGGI RICH + RUSTIC,1 x 800grm,NA,£1.49,0.0%,In Stock,Maggi,"For free recipe ideas, please visit www.NestleProfessional.co.uk",No
Catering Dry Goods,103874,7613033488146	,MAGGI RICH + RUSTIC,12 x 800grm,NA,£17.49,0.0%,In Stock,Maggi,"For free recipe ideas, please visit www.NestleProfessional.co.uk",No
Catering Dry Goods,700845,5050083392863	,KELLOGGS CRUNCHY NUT PORTION PACK,40 x 35grm,£0.49,£9.75,0.0%,In Stock,Kellogg's,Kellogg's Crunchy Nut 35g,No
Catering Dry Goods,700849,5050083393624	,KELLOGGS RICE KRISPIES PORTION PACK,40 x 22grm,£0.49,£9.75,0.0%,In Stock,Kellogg's,Kellogg's Rice Krispies 22g,No
Catering Dry Goods,700844,5050083393846	,KELLOGGS FROSTIES PORTION PACK,40 x 35grm,£0.49,£9.75,0.0%,In Stock,Kellogg's,Kellogg's Frosties Original Cereal 35g,No
Catering Dry Goods,700843,5050083393693	,KELLOGGS CORNFLAKES PORTION PACK,40 x 24grm,£0.49,£9.75,0.0%,In Stock,Kellogg's,Kellogg's Corn Flakes 24g,No
