ProductDescription,TescoProductID,BaseID,SpecialOffer,OfferStartDate,OfferEndDate,WebLink,CurrentlyAvailable,Barcode,Price,UnitOfMeasure,DateScraped
Maltesers Standard Pouch 102G,305829106,87693434,SAVE 99c Was  2.99 Now  2.00,21/1/2022,31/1/2022,https://www.tesco.ie/groceries/Product/Details/?id=305829106,True,5000159530736	,2.00,g,2022-01-27
Cadbury Crunchie Easter Egg 233G,307352787,88626807,Any 2 For 8.00,5/1/2022,8/3/2022,https://www.tesco.ie/groceries/Product/Details/?id=307352787,True,7622201440688	,5.99,g,2022-01-27
Cadbury Dairy Milk Freddo Faces Medium Easter Egg 122G,291244675,80487367,Any 3 For 5.00,5/1/2022,1/3/2022,https://www.tesco.ie/groceries/Product/Details/?id=291244675,True,7622210449092	,1.99,g,2022-01-27
Cadbury Mini Creme Eggs 78G,307340824,88497354,Any 2 For 3.00,1/1/2022,1/3/2022,https://www.tesco.ie/groceries/Product/Details/?id=307340824,True,7622201405809	,1.79,g,2022-01-27
Cadbury Twirl Easter Egg 237G,307366074,88627455,Any 2 For 8.00,5/1/2022,8/3/2022,https://www.tesco.ie/groceries/Product/Details/?id=307366074,True,7622201440749	,5.99,g,2022-01-27
Cadbury Mini Eggs Medium Easter Egg 130G,261674666,60441671,Any 3 For 5.00,5/1/2022,1/3/2022,https://www.tesco.ie/groceries/Product/Details/?id=261674666,True,5034660520702	,1.99,kg,2022-01-27
Cadbury Dark Milk Salted Caramel 85G,303670831,86665003,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=303670831,True,7622210890306	,2.00,g,2022-01-27
Lilys Crunchy Almond Bag 110G,304589638,87082057,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=304589638,True,5390394016592	,3.00,kg,2022-01-27
Flipz Strawberry Cheesecake Coated Pretzels 90G,305966824,87867903,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=305966824,True,5000168023373	,2.89,g,2022-01-27
Tesco Lightly Salted Rice Cakes 130G,306801045,88246252,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=306801045,True,5057753918163	,0.95,g,2022-01-27
Kinder Cards Biscuit Wafers 8 X 12.8G,307161304,88238529,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=307161304,True,8000500312971	,2.50,g,2022-01-27
Mcvities Blackcurrant Flavour Jaffa Cakes 10 Pack,308498941,88703590,Any 2 For 2.50,28/4/2021,28/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=308498941,True,5000168026480	,1.89,EACH,2022-01-27
Mcvities Dark Chocolate Digestive Twin 2X316g,300917315,85275224,SAVE 99c Was  3.99 Now  3.00,5/1/2022,1/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=300917315,True,5000168208503	,3.00,g,2022-01-27
Fox's Half Coated Milk Chocolate Cookies 175G,306650319,87895466,SAVE 1.19 Was  2.69 Now  1.50,1/1/2022,31/1/2022,https://www.tesco.ie/groceries/Product/Details/?id=306650319,True,5010035068383	,1.50,g,2022-01-27
Jacobs Rice Cakes With Yoghurt 90G,284090964,76874750,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=284090964,True,5391517593754	,1.50,g,2022-01-27
Tesco Shortbread Petticoat Tails 450G,293574661,81639567,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=293574661,True,5057008349414	,2.59,g,2022-01-27
Erinsoupfulls Spicy Buttrnut And Red Pepper 350G,293588790,81653895,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=293588790,True,5098732004606	,2.99,kg,2022-01-27
Sunny South Pineapple Pieces In Juice 567G,289991380,79854694,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=289991380,True,5099078000284	,2.00,kg,2022-01-27
John West Tuna Chunks In Spring Water 3 X 80G,259431381,53318575,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=259431381,True,5000171050939	,3.99,g,2022-01-27
Sunny South Whole Grapefruit Segments In Juice 1.25Kg,309789019,89960461,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=309789019,True,5391517272222	,3.49,kg,2022-01-27
Sunny South Peach Slices In Syrup 410G,310120317,89944688,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=310120317,True,5099078000093	,1.89,kg,2022-01-27
Heinz Cream Of Tomato Cup Soup 4 Pack 88G,284478339,77092037,Any 3 For 3.00,5/1/2022,1/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=284478339,True,5000157074829	,1.49,g,2022-01-27
Cadbury Treat Size Milk Chocolate Variety 222G,306952453,88317154,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=306952453,True,7622201412678	,3.55,g,2022-01-27
Lindt Lindor Chocolate Orange Multipack 4X25g,297813407,83740011,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=297813407,True,4000539139901	,2.69,g,2022-01-27
Lindt Gold Bunny White Chocolate 200G,252341588,50876177,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=252341588,True,4000539670107	,6.50,g,2022-01-27
Maltesers Milk Chocolate Box 110G,306503489,87877586,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=306503489,True,5000159533546	,2.50,g,2022-01-27
Cadbury White Chocolate 180G,306926491,88305773,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=306926491,True,7622210716095	,3.00,g,2022-01-27
Cadbury Dairy Milk Freddo Caramel 6X19.5G,275341342,72628559,SAVE 35c Was  1.85 Now  1.50,5/1/2022,1/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=275341342,True,7622210038036	,1.50,g,2022-01-27
Lilys Mega Milk Bag 110G,304589575,87082034,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=304589575,True,5390394016523	,3.00,kg,2022-01-27
Aero Dark And Milk Peppermint Chocolate Sharing Bar 90G,308102316,88909099,Any 3 For 3.00,5/1/2022,1/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=308102316,True,8593893774759	,1.60,g,2022-01-27
Galaxy Counters Chocolate Pouch 122G,305832418,87741015,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=305832418,True,5000159530774	,2.99,g,2022-01-27
Lily's Sticky Toffee Pouch Easter Egg 230G,295627147,82652497,SAVE 99c Was  10.99 Now  10.00,17/1/2022,17/4/2022,https://www.tesco.ie/groceries/Product/Details/?id=295627147,True,5390394015939	,10.00,kg,2022-01-27
Terrys Chocolate Orange Mini Eggs White 80G,307353861,88623042,Any 2 For 3.00,1/1/2022,1/3/2022,https://www.tesco.ie/groceries/Product/Details/?id=307353861,True,3664346327442	,1.79,g,2022-01-27
Quality Street Carton 240G,304570209,87062824,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=304570209,True,7613036881340	,6.50,g,2022-01-27
Cadburys White Oreo Peter Rabbit Bunny 100G,307350288,88630145,SAVE 75c Was  3.75 Now  3.00,1/1/2022,17/4/2022,https://www.tesco.ie/groceries/Product/Details/?id=307350288,True,0000057030678	,3.00,g,2022-01-27
Cirio Peeled Plum Tomatoes 4X400g,255836513,54636997,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=255836513,True,8000320390517	,4.99,kg,2022-01-27
John West No Drain Tuna Steak In Oil Fridge Pot 110G,301511619,85588568,SAVE 1.20 Was  2.70 Now  1.50,20/1/2022,1/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=301511619,True,0000050171248	,1.50,g,2022-01-27
Kabuto Miso Ramen Noodles 85G,282149306,75907737,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=282149306,True,5060250610072	,2.99,kg,2022-01-27
John West Light Lunch Italian Style Tuna Salad 220G,276616293,73269112,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=276616293,True,5000171054449	,3.59,g,2022-01-27
Batchelors Baked Beans No Added Sugar,303911697,86794777,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=303911697,True,5397136007368	,4.99,kg,2022-01-27
Knorr Pastaria Pesto 155G,302959227,86321318,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=302959227,True,8711200386888	,2.35,kg,2022-01-27
Tesco Finest Sardines In Paprika And Tomato Sauce 105G,300534497,85089151,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=300534497,True,5057753125479	,1.19,g,2022-01-27
Heinz Hoops No Added Sugar 400G,297040843,83345738,Any 2 For 2.00,5/1/2022,1/2/2022,https://www.tesco.ie/groceries/Product/Details/?id=297040843,True,5000157079008	,1.19,kg,2022-01-27
Veganz Soy Mince 500G,309172069,89464942,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=309172069,True,NA,4.79,kg,2022-01-27
Epicure Blackeye Beans 400G,251954419,55835783,NA,NA,NA,https://www.tesco.ie/groceries/Product/Details/?id=251954419,True,5011673143524	,0.58,kg,2022-01-27
