ProdCode,Description,WS Size,Pack Size,Price,RRP,POR,Min Shelf Life (days),Marked as Promo,In Stock,Inner Barcode,Outer Barcode,Product Group,Category
902998,Jus Roll Puff Pastry Sheets,6,640g,£15.00,£2.99,16.39,0,Y,NA,5010084103691	,5010084103707	,Frozen Retail," Chilled, Fresh & Frozen"
913831,Lotus Biscoff Ice Cream Sticks 3 Pack,8,270ml,£25.00,£4.29,12.59,0,Y,NA,5410126137002	,15410126137009	,Frozen Retail," Chilled, Fresh & Frozen"
914003,Magnum Dbl Caramel Billionaire 3pk,10,255ml,£22.00,£3.69,28.46,0,Y,NA,8711327483071	,08711327483088	,Frozen Retail," Chilled, Fresh & Frozen"
118257,Sterling Dual Leaf Wrapped Cigarillo 10 Pmp £5.00,20,10,£77.40,£5.00,7.12,0,N,In Stock,5000143929539	,05000143941951	,Cigs And Tobacco," Chilled, Fresh & Frozen"
913830,Lotus Biscoff Ice Cream Tub,8,460ml,£23.00,£3.99,13.53,0,Y,NA,5410126087000	,15410126087007	,Frozen Retail," Chilled, Fresh & Frozen"
901718,Yoplait Zero 0% Fat Strawberry Yogurt,6,4x125g,£7.00,£1.99,41.37,8,Y,NA,3329770061453	,03329771153386	,Dairy Products," Chilled, Fresh & Frozen"
107700,Winston King Size Blue Tpd,10,20,£92.79,£11.70,4.83,0,N,In Stock,5000143916034	,05000143936544	,Cigs And Tobacco," Chilled, Fresh & Frozen"
901720,Yoplait Zero 0% Fat Pineapple Yogurt 4 Pk,6,4x125g,£7.00,£1.99,41.37,8,Y,NA,3329770061477	,03329771153423	,Dairy Products," Chilled, Fresh & Frozen"
908277,Walls Vanilla Soft Scoop,6,1.8ltr,£11.00,£3.00,26.67,0,Y,NA,8712566291144	,8000920961070	,Frozen Retail," Chilled, Fresh & Frozen"
107040,Mayfair Sk 20 S Sky Blue Eutpd,10,20,£93.65,£11.65,3.54,0,N,In Stock,5000143936636	,5000143928358	,Cigs And Tobacco," Chilled, Fresh & Frozen"
901721,Yoplait Smooth 4pk Mixed Yellow Fruits,6,4x125g,£8.00,£1.79,25.51,8,Y,NA,3329770061439	,03329771153348	,Dairy Products," Chilled, Fresh & Frozen"
901722,Yoplait Smooth 4pk Mixed Red Fruits,6,4x125g,£8.00,£1.79,25.51,8,Y,NA,3329770061446	,03329771153362	,Dairy Products," Chilled, Fresh & Frozen"
103824,Viennetta Vanilla Ice Cream Dessert,6,650ml,£6.20,£2.79,55.56,0,Y,NA,8000920200025	,8000920250020	,Frozen Retail," Chilled, Fresh & Frozen"
106979,Special Virginia Ready Rubbed  50g Tpd,5,50g,£68.45,£18.10,9.24,0,N,In Stock,5000143962024	,5000143965247	,Cigs And Tobacco," Chilled, Fresh & Frozen"
907914,Walls Mini Twister,6,8pk,£10.00,£2.50,20.00,0,N,NA,8000920473696	,8000920473689	,Frozen Retail," Chilled, Fresh & Frozen"
103656,Muller Rice Vanilla Custard Low Fat,12,170g,£7.40,£0.80,22.92,11,Y,NA,4025500278120	,04025500278076	,Dairy Products," Chilled, Fresh & Frozen"
103943,Young S 10 Omega 3 Fish Fingers,12,250g,£19.50,£2.00,18.75,0,Y,NA,5000205039558	,05000205544373	,Frozen Retail," Chilled, Fresh & Frozen"
103832,Viennetta Mint Ice Cream Dessert,6,650ml,£6.20,£2.79,55.56,0,Y,NA,8000920200070	,8000920250044	,Frozen Retail," Chilled, Fresh & Frozen"
103947,Sword Puff Pastry Frozen,24,340g,£16.00,£1.00,33.33,0,Y,NA,5013267291017	,5013267302102	,Frozen Retail," Chilled, Fresh & Frozen"
913997,Viennetta Birthday Cake,6,650ml,£6.20,£2.79,55.56,0,Y,NA,8711327543256	,08711327543287	,Frozen Retail," Chilled, Fresh & Frozen"
909671,Meat Market Lean Beef Mince,4,400g,£13.40,£4.29,21.91,6,Y,NA,5060393478751	,5060393479031	,Chilled Foods," Chilled, Fresh & Frozen"
909787,Solero Exotic 3pk,10,270ml,£15.00,£3.00,40.00,0,Y,NA,8712100889288	,08000920865354	,Frozen Retail," Chilled, Fresh & Frozen"
103935,Shiver Ice Cubes,6,2kg,£5.50,£1.50,38.89,0,Y,NA,5060174650000	,05060174650024	,Frozen Retail," Chilled, Fresh & Frozen"
914062,Meat Market Honey Chilli Chicken Mini Fillets,4,400g,£13.40,£4.29,21.91,7,Y,NA,5060551219622	,05060551219639	,Chilled Foods," Chilled, Fresh & Frozen"
914060,Meat Market Honey Chilli Chicken Chunks Pep&onions,4,340g,£13.40,£4.29,21.91,7,Y,NA,5060551219561	,05060551219578	,Chilled Foods," Chilled, Fresh & Frozen"
914052,Meat Market Flat Iron Steaks,4,250g,£13.40,£4.29,21.91,10,Y,NA,None	,05060551219479	,Chilled Foods," Chilled, Fresh & Frozen"
914050,Meat Market Chinese Glazed Pork Ribs,4,500g,£10.00,£3.49,28.37,7,Y,NA,5060551219783	,05060551219790	,Chilled Foods," Chilled, Fresh & Frozen"
913109,Meat Market Crispy Chicken Fillet Strips,4,300g,£9.40,£3.49,32.66,7,Y,NA,5060551216799	,05060551216805	,Chilled Foods," Chilled, Fresh & Frozen"
909673,Meat Market Extra Lean Steak Pieces,4,400g,£13.40,£4.29,21.91,6,Y,NA,5060393478836	,5060393479116	,Chilled Foods," Chilled, Fresh & Frozen"
910634,Walls Feast 4 Pk,8,360ml,£16.00,£3.00,20.00,0,N,NA,8711327324831	,08711327324862	,Frozen Retail," Chilled, Fresh & Frozen"
909676,Meat Market Beef Steak Sausages (8 S) 2 For £5.50,4,400g,£10.00,£3.49,28.37,6,Y,NA,5060393478201	,05060393477150	,Chilled Foods," Chilled, Fresh & Frozen"
914056,Meat Market Chinese Chicken Stir Fry,4,450g,£13.40,£4.29,21.91,7,Y,NA,5060551219660	,05060551219677	,Chilled Foods," Chilled, Fresh & Frozen"
914048,Meat Market Buffalo Chicken Wings,4,600g,£10.00,£3.49,28.37,7,Y,NA,5060551219745	,05060551219752	,Chilled Foods," Chilled, Fresh & Frozen"
913105,Meat Market Breaded Chicken Mini Fillets,4,300g,£9.40,£3.49,32.66,7,Y,NA,5060551216812	,05060551216829	,Chilled Foods," Chilled, Fresh & Frozen"
913234,The Little Meat Company Steak Pie Large,1,750g,£4.00,£5.00,20.00,8,Y,NA,5060588821294	,05060588821294	,Chilled Foods," Chilled, Fresh & Frozen"
913247,The Little Meat Company Small Pies Mixed,1,4x170g,£5.00,£6.00,16.67,8,Y,NA,5060588821409	,05060588821409	,Chilled Foods," Chilled, Fresh & Frozen"
913235,The Little Meat Company Mince Pie Large,1,750g,£4.00,£5.00,20.00,8,Y,NA,5060588821300	,05060588821300	,Chilled Foods," Chilled, Fresh & Frozen"
103684,Spring Fresh Lower Fat Coleslaw,6,400g,£7.30,£1.49,18.34,12,Y,NA,5020476011657	,05020476011688	,Chilled Foods," Chilled, Fresh & Frozen"
913233,The Little Meat Company Chicken & Ham Pie Large,1,750g,£4.00,£5.00,20.00,8,Y,NA,5060588821287	,05060588821287	,Chilled Foods," Chilled, Fresh & Frozen"
913232,The Little Meat Company Chicken Pie Large,1,750g,£4.00,£5.00,20.00,8,Y,NA,5060588821270	,05060588821270	,Chilled Foods," Chilled, Fresh & Frozen"
103668,Spring Fresh Creamy Coleslaw,6,400,£7.30,£1.49,18.34,12,Y,NA,5020476000446	,5020476012555	,Chilled Foods," Chilled, Fresh & Frozen"
913228,The Little Meat Company Mixed Pulled Meats,6,155g-180g,£10.00,£2.20,24.24,12,Y,NA,None	,05060588821386	,Chilled Foods," Chilled, Fresh & Frozen"
913230,The Little Meat Company Pulled Chicken,6,138g,£10.00,£2.20,24.24,12,Y,NA,5060409390374	,05060588821393	,Chilled Foods," Chilled, Fresh & Frozen"
103685,Spring Fresh Potato Salad,6,400g,£7.30,£1.49,18.34,6,Y,NA,5020476011664	,5020476011695	,Chilled Foods," Chilled, Fresh & Frozen"
913867,Rustlers Southern Fried Chicken Burgers,8,142g,£9.00,£1.25,10.00,12,Y,NA,5099556022876	,05099556022883	,Chilled Foods," Chilled, Fresh & Frozen"
910976,Smokehouse Deli Spicy Chorizo,6,70g,£8.00,£1.79,25.51,12,Y,NA,5099530005970	,05099530002979	,Chilled Foods," Chilled, Fresh & Frozen"
913674,Rosie & Jim Southern Fried Chicken Goujons,6,300g,£18.00,£3.75,20.00,6,N,NA,5391312003304	,05391312003359	,Chilled Foods," Chilled, Fresh & Frozen"
910129,Rustlers Bbq Rib Burger,8,122g,£10.60,£1.69,21.60,7,Y,NA,5099556017636	,5099556020278	,Chilled Foods," Chilled, Fresh & Frozen"
910128,Rustlers Cheeseburgers,8,141g,£9.00,£1.25,10.00,7,Y,NA,5099556017551	,50995560202952	,Chilled Foods," Chilled, Fresh & Frozen"
902621,Rustlers Quarter Pounder Flame Grilled,8,190g,£13.50,£2.09,19.26,7,Y,NA,5390605004073	,5390605804079	,Chilled Foods," Chilled, Fresh & Frozen"
909999,William Carr Smoked Salmon,5,100g,£18.50,£4.49,17.59,14,Y,NA,5099445000039	,5099445990705	,Chilled Foods," Chilled, Fresh & Frozen"
103690,William Carr Smoked Salmon,10,40g,£14.50,£1.69,14.20,14,Y,NA,5099445000053	,05099445990743	,Chilled Foods," Chilled, Fresh & Frozen"
902563,Pinkertons Back Bacon Pm £1.50,6,200g,£7.20,£1.50,20.00,28,Y,NA,5032295000088	,05032295900111	,Chilled Foods," Chilled, Fresh & Frozen"
913673,Rosie & Jim Breaded Chicken Goujons Gluten Free,6,300g,£18.00,£3.75,20.00,6,N,NA,5391312003298	,05391312003342	,Chilled Foods," Chilled, Fresh & Frozen"
902564,Pinkertons Back Bacon Pm £2.29,6,300g,£11.00,£2.29,19.94,28,Y,NA,5032295456786	,05032295900128	,Chilled Foods," Chilled, Fresh & Frozen"
104883,Peperami Hot 25g,24,22.5g,£14.20,£0.89,33.52,20,Y,NA,4251097405308	,04251097401638	,Chilled Foods," Chilled, Fresh & Frozen"
902567,Pinkertons Middle Bacon Pmp £2.20,6,300g,£11.20,£2.20,15.15,28,Y,NA,5032295000095	,05032295900166	,Chilled Foods," Chilled, Fresh & Frozen"
905762,Pinkertons Crumbed Ham,10,90g,£11.00,£1.29,14.73,13,Y,NA,5032295100023	,5032295900371	,Chilled Foods," Chilled, Fresh & Frozen"
901000,William Carr Prawn Cocktail,6,200g,£19.50,£3.99,18.55,16,Y,NA,5099445999029	,05099445842660	,Chilled Foods," Chilled, Fresh & Frozen"
104023,Primavalley Pork Sausages,8,340g,£10.25,£1.55,17.34,3,Y,NA,5018315002621	,05018315002638	,Chilled Foods," Chilled, Fresh & Frozen"
905764,Pinkertons 10 Traditional Pork Sausage,6,250g,£6.25,£1.25,16.67,8,Y,NA,5032295900166	,05032295900319	,Chilled Foods," Chilled, Fresh & Frozen"
913819,Mulligans Burgers & Baps With Cheese 2 Pk,6,198g,£12.00,£2.30,13.04,12,Y,NA,5018222001915	,05018222001922	,Chilled Foods," Chilled, Fresh & Frozen"
104882,Peperami Original,24,22.5g,£14.20,£0.98,39.63,20,Y,NA,4251097405278	,04251097401706	,Chilled Foods," Chilled, Fresh & Frozen"
909690,Mulligans Large Cheese Burger,6,150g,£7.75,£1.69,23.57,12,Y,NA,5018222001779	,05018222001786	,Chilled Foods," Chilled, Fresh & Frozen"
104884,Peperami Firestick 25g,24,22.5g,£14.20,£0.89,33.52,20,Y,NA,4251097405339	,04251097401591	,Chilled Foods," Chilled, Fresh & Frozen"
909695,Mulligans Southern Fried Chicken Wraps 3 Pack,6,218g,£11.50,£2.59,26.00,12,Y,NA,5018222002219	,05018222002226	,Chilled Foods," Chilled, Fresh & Frozen"
