Station,Postcode,Latitude,Longitude,Owner
Finsbury Park,N4 2DH,51.56430024,-0.106284979,Govia Thameslink Railway (Great Northern)
Finstock,OX7 3AW,51.85278286,-1.469343103,Great Western Railway
Fishbourne (Sussex),PO19 3QH,50.83905099,-0.815084252,Govia Thameslink Railway (Southern)
Fishersgate,BN4 1PL,50.8342332,-0.219423239,Govia Thameslink Railway (Southern)
Fishguard and Goodwick,SA64 0DG,52.00412051,-4.994839115,TfW Rail
Fishguard Harbour,SA64 0BU,52.01154906,-4.985643364,TfW Rail
Fiskerton,NG25 0TR,53.06027374,-0.91218761,East Midlands Railway
Fitzwilliam,WF9 5DA,53.63250123,-1.374273166,Northern Trains
Five Ways,B15 1SF,52.47109638,-1.91295452,West Midlands Trains (West Midlands Railway)
Fleet,GU51 3QY,51.29063446,-0.830805697,South Western Railway
Flimby,CA15 8QN,54.689691,-3.520740704,Northern Trains
Flint,CH6 5PG,53.24952752,-3.132993657,TfW Rail
Flitwick,MK45 1AJ,52.00364119,-0.495257874,Govia Thameslink Railway (Thameslink)
Flixton,M41 6JL,53.44380998,-2.384246759,Northern Trains
Flowery Field,SK14 4BZ,53.46185621,-2.081053174,Northern Trains
Folkestone Central,CT19 5HB,51.08288389,1.169482265,Southeastern
Folkestone West,CT20 3PA,51.0845829,1.153903308,Southeastern
Ford,BN18 0BH,50.82939303,-0.57841003,Govia Thameslink Railway (Southern)
Forest Gate,E7 0NF,51.5494302,0.024352817,TfL Rail
Forest Hill,SE23 3HB,51.43927849,-0.053157106,London Overground
Formby,L37 2JF,53.55348043,-3.070908214,Merseyrail
Forres,IV36 3AD,57.60980001,-3.625950388,ScotRail
Forsinard,KW13 6YT,58.35690378,-3.896881086,ScotRail
Fort Matilda,PA16 7TS,55.95903701,-4.79526871,ScotRail
Fort William,PH33 6TQ,56.82045046,-5.10614472,ScotRail
Four Oaks,B74 2TD,52.57978124,-1.8280319,West Midlands Trains (West Midlands Railway)
Foxfield,LA20 6BX,54.25867147,-3.21606208,Northern Trains
Foxton,CB22 6SE,52.11921183,0.056308092,Govia Thameslink Railway (Great Northern)
Frant,TN3 9BJ,51.1040265,0.294543048,Southeastern
Fratton,PO1 5AW,50.79633891,-1.073982774,South Western Railway
Freshfield,L37 7DD,53.56605646,-3.07182995,Merseyrail
Freshford,BA2 7WQ,51.34203171,-2.30100873,Great Western Railway
Frimley,GU16 7QH,51.31186149,-0.746991364,South Western Railway
Frinton-on-Sea,CO13 9JT,51.83767873,1.243170541,Greater Anglia
Frizinghall,BD9 4LD,53.82037122,-1.769001258,Northern Trains
Frodsham,WA6 7DN,53.29581779,-2.723567237,TfW Rail
Frome,BA11 1RE,51.22727258,-2.309997059,Great Western Railway
Fulwell,TW2 5NY,51.43393398,-0.349467607,South Western Railway
Furness Vale,SK12 7QA,53.34875336,-1.988844824,Northern Trains
Furze Platt,SL6 7NY,51.53301976,-0.728472828,Great Western Railway
Gainsborough Central,DN21 1XR,53.39958395,-0.769694112,Northern Trains
Gainsborough Lea Road,DN21 1AH,53.38608872,-0.768579598,East Midlands Railway
Galashiels,TD1 1BP,55.61835413,-2.806900939,ScotRail
Garelochhead,G84 0EG,56.07987005,-4.825717717,ScotRail
Garforth,LS25 1PY,53.79657828,-1.382309709,Northern Trains
Gargrave,BD23 3NE,53.97841814,-2.105170642,Northern Trains
Garrowhill,G69 1AA,55.85524334,-4.129461398,ScotRail
Garscadden,G14 0EY,55.88769991,-4.365005541,ScotRail
Garsdale,LA10 5PP,54.32143217,-2.326353837,Northern Trains
Garston (Hertfordshire),WD25 9RT,51.68661469,-0.381741214,West Midlands Trains (London Northwestern Railway)
Garswood,WN4 0SA,53.48852285,-2.672134965,Northern Trains
Gartcosh,G69 8DF,55.88566552,-4.079495033,ScotRail
Garth (Bridgend County),CF34 9HS,51.59645984,-3.641450685,TfW Rail
Garth (Powys),LD4 4AF,52.13324038,-3.529907783,TfW Rail
Garve,IV23 2QF,57.61304661,-4.688396325,ScotRail
Gathurst,WN5 0LW,53.55940523,-2.694393598,Northern Trains
Gatley,SK8 4AE,53.39290656,-2.231234258,Northern Trains
Gatwick Airport,RH6 0RD,51.15648928,-0.161041535,Govia Thameslink Railway (Gatwick Express)
Georgemas Junction,KW12 6HH,58.51362717,-3.452120858,ScotRail
Gerrards Cross,SL9 8PP,51.58902221,-0.555275422,Chiltern Railways
Gidea Park,RM2 6BX,51.58190196,0.2059643,TfL Rail
Giffnock,G46 6JF,55.80399507,-4.2930152,ScotRail
Giggleswick,BD24 0EA,54.0618025,-2.302848016,Northern Trains
Gilberdyke,HU15 2SU,53.74796309,-0.732243448,Northern Trains
Gilfach Fargoed,CF81 8LT,51.68425281,-3.22656863,TfW Rail
Gillingham (Dorset),SP8 4PZ,51.03403642,-2.272624006,South Western Railway
Gillingham (Kent),ME7 1XE,51.38656284,0.549849976,Southeastern
Gilshochill,G23 5LF,55.89734309,-4.282685448,ScotRail
Gipsy Hill,SE19 1QL,51.42445155,-0.083835919,Govia Thameslink Railway (Southern)
Girvan,KA26 9HF,55.24631857,-4.848382582,ScotRail
Glaisdale,YO21 2QL,54.43938093,-0.793787833,Northern Trains
Glan Conwy,LL28 5ED,53.26742595,-3.797728184,TfW Rail
Glasgow Central,G1 3SL,55.85976112,-4.257644271,Network Rail
Glasgow Queen Street,G1 2AF,55.86219328,-4.251456846,ScotRail
Glasshoughton,WF10 4TA,53.70904357,-1.342005203,Northern Trains
Glazebrook,WA3 5BA,53.42836187,-2.459657743,Northern Trains
Gleneagles,PH3 1JL,56.27485387,-3.731168694,ScotRail
Glenfinnan,PH37 4LS,56.87240916,-5.449621445,ScotRail
Glengarnock,KA14 3AT,55.73889331,-4.674502854,ScotRail
Glenrothes with Thornton,KY1 4AE,56.16236036,-3.14301586,ScotRail
Glossop,SK13 8BS,53.44447123,-1.949073953,Northern Trains
Gloucester,GL1 1DE,51.86556051,-2.238487905,Great Western Railway
Glynde,BN8 6RU,50.85917021,0.070077288,Govia Thameslink Railway (Southern)
Gobowen,SY11 3JS,52.89351807,-3.037173085,TfW Rail
Godalming,GU7 1EU,51.18658592,-0.618862332,South Western Railway
Godley,SK14 4DP,53.4517052,-2.054772603,Northern Trains
Godstone,RH9 8EU,51.21815582,-0.050085001,Govia Thameslink Railway (Southern)
Goldthorpe,S63 9BS,53.53418989,-1.312807786,Northern Trains
Golf Street,DD7 7JG,56.49779653,-2.719543923,ScotRail
Golspie,KW10 6SZ,57.9714692,-3.987215768,ScotRail
Gomshall,GU5 9NX,51.21939754,-0.441852195,Great Western Railway
Goodmayes,IG3 9UH,51.56557709,0.110807067,TfL Rail
Goole,DN14 5DD,53.70491414,-0.874213507,Northern Trains
Goostrey,CW4 8PJ,53.22255424,-2.326470622,Northern Trains
