Product ID,UPC ID,Category,Department,Product,Price,Sale Price,Unit Price,Unit,Home Bargains,Promotion
1.00006E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,Demon Shot Screenwash Booster,£4.00,£4.00,80.0p/100ml,Each,NO,
9.1E+11,5.02635E+12,Home & Entertainment,DIY & Car Care,Rain-X Rain Repellent,£4.00,£4.00,£20.00/lt,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Anti-Freeze 2L,£5.00,£5.00,£2.50/lt,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Screenwash Concentrate,£2.75,£2.75,£1.10/lt,Each,NO,
1.00035E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,CarPlan No1 Super Glass 600ml,£8.00,£8.00,£13.33/lt,Each,NO,
1.00019E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,CarPlan No1 Super Clean 600Ml,£10.00,£10.00,£16.67/lt,Each,NO,
479483,5.01037E+12,Home & Entertainment,DIY & Car Care,T-Cut Scratch Remover,£5.25,£5.25,£3.50/100g,Each,NO,
1.00035E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,Nitrox Diesel Max Blast 300ml,£16.00,£16.00,£53.33/lt,Each,NO,
1.00035E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,Nitrox Petrol Max Blast 300ml,£16.00,£16.00,£53.33/lt,Each,NO,
1.00035E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,Nitrox Clean Cat Petrol 500ml,£16.00,£16.00,£32.00/lt,Each,NO,
9.10003E+11,5.01037E+12,Home & Entertainment,DIY & Car Care,CarPlan No1 Super Gloss,£10.00,£10.00,£16.67/lt,Each,NO,
1.00035E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,Nitrox Clean Cat Diesel 500ml,£16.00,£16.00,£32.00/lt,Each,NO,
9.10002E+11,5.01037E+12,Home & Entertainment,DIY & Car Care,Demon Tyres Wet Look Tyres Shine,£4.00,£4.00,£4.00/lt,Each,NO,
1.0003E+12,5.05717E+12,Home & Entertainment,DIY & Car Care,Auto Drive Microfibre Drying Towel,£3.00,£3.00,£3.00/each,Each,NO,
1.00035E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,CarPlan No1 Super Dri 600ml,£8.00,£8.00,£13.33/lt,Each,NO,
1.0001E+12,5.05478E+12,Home & Entertainment,DIY & Car Care,Auto Drive Tyre Dressing,£2.00,£2.00,£4.00/lt,Each,NO,
1.00035E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,CarPlan No1 Super Wheels 600ml,£8.00,£8.00,£13.33/lt,Each,NO,
1.00035E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,Triplewax Snow Foam 2.5Ltr,£10.00,£10.00,£4.00/lt,Each,NO,
1.0001E+12,5.05478E+12,Home & Entertainment,DIY & Car Care,Auto Drive Anti-Fog Class Cleaner,£2.00,£2.00,£4.00/lt,Each,NO,
1.0001E+12,5.05478E+12,Home & Entertainment,DIY & Car Care,Auto Drive Wheel Cleaner,£2.25,£2.25,£4.50/lt,Each,NO,
1.0001E+12,5.01037E+12,Home & Entertainment,DIY & Car Care,Triplewax Tyre Shine Foam Cleaner,£4.00,£4.00,£8.00/lt,Each,NO,
