GTIN,Category,Sub Category,Product,Brand,Price,Unit Price,Unit,Offer
5060108450546,"Beer, Wines & Spirits",Fever-Tree Shop - Sponsored ,Fever-Tree Mediterranean Tonic Water,Fever-Tree,2.1,0.42,per 100ml,Buy 2 for £3.40
5010134921466,"Beer, Wines & Spirits",Wine & Champagne,Hardys Nottage Hill Pinot Grigio,Hardys,6.5,8.67,per litre,Buy 3 for £15
4069400139143,"Beer, Wines & Spirits",Cigarettes & Tobacco,Villigers Export Pressed Cigars  ,Villigers,16.0,3.2,each,
5000435013359,"Beer, Wines & Spirits",Cigarettes & Tobacco,Windsor Blue Real Blue Superkings Cigarettes Multipack,Windsor,55.75,0.558,each,
3012999250066,"Beer, Wines & Spirits",Spirits & Liqueurs,Bardinet Grenadine Syrup,Bardinet,4.5,6.43,per litre,
5010677704144,"Beer, Wines & Spirits",Spirits & Liqueurs,Bombay London Dry Gin ,Bombay Sapphire,20.0,20.0,per litre,
7310689000042,Household,Matches & Firelighters,Swan Safety Matches,Swan,1.0,0.25,each,
4015600499952,Household,Air Fresheners,Febreze 3Volution Air Freshener Cotton Fresh Plug Refill,Ambi Pur,3.0,0.0,each,
8711577002954,Household,Cleaning Cupboard,"HG Kitchen Oven, Grill & Barbecue Cleaner",HG,4.5,9.0,per litre,
5029053573724,Household,Tissue,Kleenex Allergy Comfort 56 Sheets 2 Pack,Kleenex,4.0,2.0,each,
5010525056005,Household,Laundry,Morrisons Non - Bio Powder 12 Washes,Morrisons,2.0,0.256,per 100g,
5010525078182,Household,Cleaning Cupboard,Morrisons Soft Grip Scrub Brush,Morrisons,1.0,0.0,each,
8001841517155,Household,Laundry,Lenor Unstoppables Dreams In-Wash Scent Booster,Lenor,8.0,3.03,per 100g,
5010251636083,Household,Cleaning Cupboard,Morrisons Ribbed Kitchen Cloths,Morrisons,1.09,0.273,each,
5011417551721,Household,Air Fresheners,Airwick Freshmatic Refill Crisp Linen & Lilac,Air Wick,3.0,0.0,each,
8006540334065,Household,Cleaning Cupboard,Flash Spray Wipe Antibacterial Spray Wild Berries,Flash,2.0,2.5,per litre,
8699568528426,Toiletries & Beauty,Hair Care,Nice 'N Easy Permanent Colour 6A Natural Light Ash Brown (114) Hair Dye,Nice 'N Easy,6.5,0.0,each,Buy 2 for £10.50
4005900632975,Toiletries & Beauty,Skin Care,Nivea Coconut & Monoi Oil,Nivea,3.68,0.92,per 100ml,"Offer price £3.68, was £7"
5021044040215,Toiletries & Beauty,Hair Care,Nutrisse Dark Blonde 7,Nutrisse,6.5,0.0,each,Buy 2 for £9.50
5021044025120,Toiletries & Beauty,Hair Care, Nutrisse Golden Brown 5.3,Garnier,6.5,0.0,each,Buy 2 for £9.50
9310415014716,"Beer, Wines & Spirits",Wine & Champagne,McGuigan Reserve Shiraz,McGuigan,7.5,7.5,per 75cl,
5000431026681,"Beer, Wines & Spirits",Cigarettes & Tobacco,Embassy Filter Cigarettes,Embassy,13.7,0.685,each,
5000435012871,"Beer, Wines & Spirits",Cigarettes & Tobacco,Embassy Signature Gold Cigarettes Multipack,Embassy,50.5,0.505,each,
5010251761099,"Beer, Wines & Spirits",Spirits & Liqueurs,Morrisons The Best Sparkling Raspberry Lemonade ,Morrisons The Best,1.75,0.233,per 100ml,
5010251547495,"Beer, Wines & Spirits",Wine & Champagne,Morrisons Vermouth Rosso,Morrisons,6.0,4.5,per 75cl,
5010038461020,"Beer, Wines & Spirits",Ale,Sharp's Doom Bar Exceptional Amber Ale,Sharps,5.0,2.5,per litre,
5020628000232,"Beer, Wines & Spirits",Cider,Thatchers Gold   Cider 4.8%       ,Thatchers,4.4,2.5,per litre,
8717644300428,Toiletries & Beauty,Men's Toiletries,Sure Men Motion Sense Quantum Dry 48H Anti-Perspirant ,Sure,1.6,1.07,per 100ml,
8710447299104,Toiletries & Beauty,Hair Care, Tresemme Salon Styling Freeze Hold Hair Spray,TRESemme,5.0,1.25,per 100ml,
5011417556399,Toiletries & Beauty,Shaving & Hair Removal,"Veet Wax Strips Face for Sensitive Skin, Wax Strips",Veet,7.0,35.0,per 100ml,
8001090899071,Toiletries & Beauty,Feminine Care,Always Platinum Normal (Size1) Sanitary Towels Wings 12 pads,Always,2.0,0.167,each,
0000042288794,Toiletries & Beauty,Holiday Shop,Nivea Body Lotion Irresistibly Smooth Dry Skin,Nivea,1.5,2.0,per 100ml,Buy 3 for £3
8718951431942,Toiletries & Beauty,Deodorants & Body Sprays,Sanex Biome Protect Moisturising Roll On Deodorant,Sanex,1.0,2.0,per 100ml,"Offer price £1, was £1.95"
5010264435895,Toiletries & Beauty,Hair Care, Shockwaves Extra Strong Hold Hairspray,Shockwaves,2.75,1.1,per 100ml,Buy 2 for £4.50
5410076764754,Toiletries & Beauty,Hair Care,Aussie Miracle Shine Shampoo With Ginseng extract & Pearl powder,Aussie,4.5,1.5,per 100ml,Buy 3 for £10
3600540583956,Toiletries & Beauty,Skin Care,Garnier Gradual Tan Moisturiser Dark,Garnier,3.0,1.2,per 100ml,"Offer price £3, was £6"
8001090580122,Toiletries & Beauty,Hair Care, Head & Shoulders Supreme Repair Shampoo,Head & Shoulders,5.0,1.25,per 100ml,Buy 3 for £10
3614228686754,Toiletries & Beauty,Make Up & Nails,Rimmel Scandaleyes Volume On Demand Black,Rimmel,8.5,70.83,per 100ml,
5017694103578,Toiletries & Beauty,Hair Care,Root Perfect Instant Root Concealer Spray Black,Root Perfect,4.0,5.33,per 100ml,
5012583209287,Toiletries & Beauty,Hair Care,Schwarzkopf Live Intense Colour Beach Blonde B12,Schwarzkopf,5.8,0.0,each,
5012583209324,Toiletries & Beauty,Hair Care,Schwarzkopf Live Intense Colour Cool Blonde B10,Schwarzkopf,5.8,0.0,each,
5012583002819,Toiletries & Beauty,Hair Care,Schwarzkopf LIVE Intense Colour Permanent Blue Hair Dye 090 Cosmic Blue,Schwarzkopf,5.8,0.0,each,
5012583205005,Toiletries & Beauty,Hair Care,Schwarzkopf LIVE Lightener + Twist Permanent Purple Hair Dye 104 Cool Lilac,Schwarzkopf,5.8,0.0,each,
5012583207771,Toiletries & Beauty,Hair Care,Schwarzkopf Live Pretty Pastels Rose Gold P123,Schwarzkopf,5.5,0.0,each,
5012874022441,Toiletries & Beauty,Make Up & Nails,Rimmel London Hide The Blemish Concealer 001 Ivory,Rimmel,4.5,,,"Offer price £4.50, was £5"
5012874032945,Toiletries & Beauty,Make Up & Nails,Rimmel London Hide The Blemish Concealer 002 Sand,Rimmel,4.5,,,"Offer price £4.50, was £5"
3607345379050,Toiletries & Beauty,Make Up & Nails,Rimmel London Lasting Finish 25HR Foundation 200 Soft Beige,Rimmel,7.0,2.331,per 10ml,"Offer price £7, was £10"
