Store Postcode,Detatched,Semi-Detatched,Terraced,Flat (Purpose Built),Flat (Converted),Residence in Commercial Building,Owned Outright,Owned with Mortgage,Shared Ownership,Rented: From Council,Rented: Other Social,Rented: Private Landlord,Rented: Other,Rent Free,One Person,Two People,Three People,Four People,Five People,Six People,Seven People,8+ People,AB,C1,C2,DE,Male,Female,0 to 4,5 to 7,8 to 9,10 to 14,15,16 to 17,18 to 19,20 to 24,25 to 29,30 to 44,45 to 59,60 to 64,65 to 74,75 to 84,85 to 89,90+,Single,Married,Divorced,Separated,Widowed,Same Sex,Very Good,Good,Fair,Bad,Very Bad,Degree or similar,Apprenticeship,"HNC, HND or 2+ A Levels","5+ GCSE, an A-Level or 1-2 AS Levels",1-4 GCSEs or Equivalent,No GCSEs or Equivalent,Other,White,Mixed Ethnicity,Indian,Bangladeshi,Chinese,Other Asian,Black African,Other,England,Wales,Scotland,Northern Ireland,Republic of Ireland,European Union,Other,United Kingdom,Republic of Ireland,Europe (including European Union),African Countries,Middle East or Asia,North America or Caribbean,Central America,South America,Oceania,None,Christian,No Religion,Buddhist,Hindu,Jewish,Muslim,Sikh,Other Religion,Not Stated,Full-Time Employee,Part-Time Employee,Self Employed,Unemployed,Full-Time Student,Retired,Looking after Home or Family,Long Term Sick or Disabled,Other
SP4 8QU,3,33,17,4,0,9,2,5,1,1,7,6,43,0,10,5,17,24,3,5,1,0,5,47,4,7,334,130,36,17,15,24,0,3,31,106,86,135,8,1,2,0,0,0,217,121,11,22,1,0,298,137,25,3,1,62,14,62,116,90,18,10,420,9,3,2,NA,3,17,1,345,16,21,8,3,21,50,384,3,1,22,5,11,0,0,4,42,285,131,1,6,0,1,0,8,32,281,42,9,7,5,2,10,1,15
IP26 5HG,93,38,9,1,0,1,57,55,1,0,1,16,1,0,26,53,19,20,9,3,1,0,21,36,27,8,178,186,22,16,8,31,3,6,6,10,12,74,61,27,46,24,10,8,52,171,20,9,32,0,185,107,44,22,6,55,10,37,48,34,74,26,359,3,NA,NA,NA,1,NA,NA,328,5,5,3,1,5,17,265,1,4,0,0,16,0,0,0,79,247,95,0,4,0,0,0,3,15,98,34,27,3,10,55,7,8,0
TR14 8JS,10,15,25,29,45,30,32,24,0,1,2,81,5,0,75,39,15,13,3,0,0,0,9,32,21,58,144,121,19,6,2,13,1,6,7,23,18,71,50,13,20,13,3,0,101,63,39,8,13,0,97,96,49,18,5,45,9,35,33,35,57,10,248,9,1,NA,2,4,NA,1,216,10,1,0,1,21,16,164,1,20,0,4,1,0,0,1,76,134,88,0,0,1,1,0,4,37,57,32,27,9,15,26,7,20,15
IV40 8AE,11,32,10,19,1,3,15,9,0,15,19,6,NA,4,32,24,9,3,0,0,0,0,5,12,23,18,63,56,8,1,1,3,2,2,4,7,9,23,37,8,4,10,0,0,42,39,10,4,9,0,71,33,12,3,0,16,NA,NA,NA,NA,23,NA,117,NA,NA,NA,1,NA,1,NA,17,0,98,0,1,0,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,0,0,0,1,0,0,8,39,15,12,14,3,6,3,1,1
DA2 6JB,1,48,38,38,0,1,40,38,1,31,1,7,3,3,38,46,19,16,4,1,0,0,7,36,19,26,128,149,17,14,8,19,1,3,4,21,23,50,53,20,19,21,3,1,83,93,18,5,19,0,115,115,35,10,2,41,4,34,30,38,56,15,235,4,14,5,1,10,2,6,241,0,1,4,1,2,28,216,1,2,3,5,0,0,0,0,49,151,82,0,24,0,6,5,0,9,85,31,16,12,15,20,7,6,1
SA48 7JR,41,54,0,1,0,1,43,27,1,6,7,10,NA,1,35,23,15,19,1,1,1,0,8,11,28,19,104,116,10,5,5,15,3,5,7,8,14,32,50,26,21,16,3,0,54,84,21,5,18,0,91,78,28,19,4,34,9,17,28,28,58,8,220,NA,NA,NA,NA,NA,NA,NA,48,164,3,0,1,2,NA,132,1,4,0,0,0,0,0,0,83,154,49,0,0,0,0,0,3,14,56,13,34,6,11,28,5,9,1
PA15 4LQ,1,1,0,35,0,NA,0,4,0,0,31,2,NA,0,10,10,9,5,3,0,0,0,2,8,3,14,43,49,10,3,2,9,1,3,1,3,10,21,10,3,10,6,0,0,35,21,6,1,4,0,53,18,15,4,2,7,NA,NA,NA,NA,29,NA,92,NA,NA,NA,NA,NA,NA,NA,4,0,86,0,0,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,0,0,0,0,0,5,21,5,1,2,6,10,8,8,0
BT62 3BE,7,19,186,25,15,6,29,22,2,4,46,110,3,1,111,56,25,16,6,2,1,0,6,34,29,95,211,201,30,7,2,17,2,11,4,37,49,87,75,27,39,17,6,2,165,89,44,24,32,0,163,137,77,28,7,50,8,32,35,39,129,61,366,2,2,1,7,16,13,4,15,0,5,235,7,111,39,173,7,101,2,16,1,0,0,0,103,NA,58,NA,NA,NA,NA,NA,13,64,113,40,10,27,14,46,13,42,24
LE5 1DR,3,62,12,31,1,12,14,22,0,66,0,13,2,2,38,38,24,13,4,2,0,0,5,15,25,45,115,155,29,15,5,13,7,11,1,21,28,62,31,14,14,14,5,0,91,58,21,14,17,0,114,92,39,15,10,21,7,16,25,35,84,13,193,16,28,NA,NA,9,8,3,211,1,4,0,3,9,42,171,3,7,6,10,0,0,0,0,77,109,85,0,25,0,21,7,0,23,43,32,10,15,17,21,18,18,8
TA2 7BA,53,48,36,1,1,1,69,42,1,6,7,12,1,1,28,61,26,17,4,3,0,0,18,27,15,23,186,228,16,8,5,17,8,3,8,10,13,57,66,33,65,56,31,18,67,191,21,3,78,0,141,115,122,25,11,65,14,37,45,34,146,19,408,4,NA,NA,1,NA,1,NA,376,5,1,2,5,19,6,257,5,14,1,0,0,0,0,0,138,294,87,1,0,0,1,0,2,29,91,31,19,5,11,75,9,9,5
CA2 7HY,3,16,109,5,1,2,29,43,0,1,4,43,5,2,47,49,15,10,3,2,0,1,13,24,31,38,128,138,18,12,0,15,5,9,6,25,21,61,52,15,10,8,5,4,89,83,27,6,11,0,114,108,36,7,1,45,15,16,44,39,48,9,241,2,8,NA,1,8,5,1,216,4,12,3,0,12,19,179,0,10,5,12,0,0,0,3,61,170,72,0,5,0,3,1,0,15,98,29,14,8,19,15,6,9,1
BT49 9DB,41,23,66,12,1,1,47,35,0,5,1,41,2,7,44,45,20,22,6,1,0,0,7,25,23,38,149,169,13,12,9,6,2,6,8,24,30,58,66,12,31,26,11,4,107,119,18,10,22,0,112,119,66,19,2,43,13,22,38,29,104,27,318,NA,NA,NA,NA,NA,NA,NA,4,0,3,272,4,31,4,169,4,29,0,0,1,0,0,0,78,NA,17,NA,NA,NA,NA,NA,3,12,94,20,9,22,13,35,9,21,12
DA13 0RQ,99,19,15,2,0,2,58,60,0,2,0,8,2,1,19,57,19,21,12,3,0,0,35,34,12,11,172,180,13,9,8,22,13,14,10,16,8,46,98,30,38,24,3,0,69,179,16,7,16,0,171,134,33,12,2,90,11,40,49,41,49,7,327,5,8,NA,NA,NA,2,4,330,1,0,1,0,3,17,330,0,3,0,4,1,0,0,0,16,237,73,0,0,1,8,5,1,27,74,32,54,5,25,54,10,2,4
EX16 9LU,45,29,62,11,3,4,61,37,0,3,0,36,4,0,42,61,14,21,2,1,0,0,17,23,30,21,159,171,21,7,3,12,2,7,4,23,17,46,63,29,50,19,14,13,64,156,21,6,38,0,155,99,62,9,5,71,13,40,41,38,70,12,328,NA,1,NA,NA,NA,NA,NA,311,6,3,0,1,1,8,270,1,0,0,0,1,0,0,0,59,218,87,0,1,0,1,0,0,23,80,36,45,8,10,49,7,2,2
SP11 9LQ,15,26,19,3,0,NA,2,14,1,0,2,3,38,0,4,14,11,27,4,0,0,0,25,18,9,4,589,108,37,16,8,8,2,2,61,282,121,130,23,2,4,0,1,0,453,125,22,25,1,0,486,194,17,0,0,96,41,112,193,146,12,26,639,19,NA,NA,1,18,7,6,526,35,30,7,1,35,63,620,1,7,17,16,7,0,0,7,29,486,171,8,8,1,1,0,0,22,539,40,10,4,4,4,10,0,14
TR18 3JJ,73,9,44,1,5,NA,60,25,0,0,5,26,2,0,35,53,15,11,2,2,0,0,10,21,20,22,136,116,7,6,6,13,1,5,6,3,10,46,47,31,36,27,5,3,54,107,29,5,24,0,93,107,32,13,7,62,10,16,52,29,44,6,250,NA,NA,NA,NA,2,NA,NA,234,3,3,0,0,1,11,196,0,1,4,1,0,0,0,1,50,159,69,1,0,0,0,0,6,17,38,35,30,9,11,48,2,8,3
IP31 1EE,13,20,32,0,0,1,8,13,0,2,2,14,19,0,7,25,14,10,2,0,0,0,5,26,12,8,754,104,28,6,2,8,2,8,83,361,204,127,13,5,9,2,0,0,657,83,30,38,3,1,646,189,19,2,2,143,37,185,268,126,34,19,811,14,1,NA,NA,1,12,1,680,40,43,9,1,34,51,773,1,3,12,0,13,2,0,8,47,501,316,1,1,0,3,0,4,32,720,44,13,6,2,7,5,3,10
BT78 3AE,160,33,89,0,0,9,117,63,0,22,1,39,7,18,95,68,34,32,19,10,6,3,25,25,64,66,340,348,39,20,22,44,9,20,18,56,45,115,141,40,59,45,11,4,218,252,18,15,51,0,314,182,133,47,12,127,25,53,79,40,208,22,684,1,NA,NA,3,NA,NA,NA,24,0,2,620,24,17,1,253,24,11,0,1,0,0,0,0,191,NA,16,NA,NA,NA,NA,NA,5,38,124,57,76,24,47,68,14,63,21
PE14 8RH,55,38,5,8,1,NA,42,33,1,1,11,9,NA,0,28,35,10,14,5,3,2,0,4,17,25,25,134,107,14,10,7,15,5,6,6,10,13,49,42,21,24,14,2,3,48,108,17,5,12,0,97,85,43,11,5,15,5,18,37,30,72,13,229,7,NA,NA,NA,4,NA,NA,231,0,1,0,0,2,7,129,0,1,0,2,1,0,0,0,108,162,66,0,1,0,0,0,0,12,57,25,14,8,12,32,13,6,4
RG31 6DR,40,56,10,5,7,3,37,63,1,1,0,14,2,1,22,36,25,23,8,3,2,0,34,33,17,17,171,162,20,12,8,27,7,9,11,14,18,82,68,23,23,7,3,1,82,142,21,8,6,0,190,106,37,0,0,99,13,32,41,34,27,13,297,13,3,NA,3,NA,5,3,285,5,6,2,4,9,22,277,4,10,3,3,3,0,0,1,35,186,97,0,5,2,16,0,0,27,121,42,21,7,14,33,9,1,0
BD6 1PQ,11,60,39,14,1,1,49,57,0,1,0,12,3,2,42,45,24,8,2,2,0,1,14,25,26,26,131,135,22,5,5,11,4,4,6,15,14,48,53,26,23,24,5,1,55,112,30,6,16,0,102,106,41,16,1,34,12,19,27,37,70,20,245,4,4,NA,3,NA,NA,3,245,1,2,0,1,8,9,203,1,5,0,3,0,0,0,0,56,169,68,2,3,0,8,0,1,15,82,23,16,9,14,30,8,6,1
CV11 6QN,5,8,29,1,0,NA,2,5,0,0,6,4,23,2,1,6,11,12,10,2,0,0,7,25,6,4,337,95,30,18,8,14,0,8,17,140,89,101,5,1,1,0,0,0,247,89,10,16,0,0,328,98,6,0,0,64,28,83,84,70,9,24,283,9,12,NA,NA,112,8,6,264,14,7,8,3,10,126,296,3,2,4,102,0,5,0,0,22,147,71,13,61,0,7,5,1,127,306,26,2,1,6,0,7,2,12
