Product Code,Desc,Wholesale Size,Order Size,Pack Size,Retail EAN,Vat Rate,Brand,Price Promo,Image URL,Subcat,Category,RSP,POR,Calculated Wholesale Price,Calculated Wholesale Price (Corrected VAT),Multi Buy,Multi Buy Mechanic,Date Scraped
667791,Extra Refreshers Bubblemint Sugar Free Chewing Gum Handy Box 7pcs,7pce × 16 × 1,16,7pce,4009900534475	,Standard,Wrigley's,NO,https://www.bestwaywholesale.co.uk/img/products/1000/9/4009900534499.jpg,Chewing Gum,Confectionery,£0.60,33.88%,6.35,8.46,NO,NA,05-10-2022
444376,Maltesers Buttons Chocolate £1 PMP Treat Bag 68g,68g × 20 × 1,20,68g,5000159511568	,Standard,Maltesers,YES,https://www.bestwaywholesale.co.uk/img/products/1000/9/5000159511599.jpg,Mars,Confectionery,£1.00,22.06%,15.59,18.71,NO,NA,05-10-2022
715300,Cadbury Curly Wurly Chocolate Bar 21.5g,21.5g × 48 × 1,48,21.5g,7622201143473	,Standard,Cadbury,NO,https://www.bestwaywholesale.co.uk/img/products/1000/0/7622201143480.jpg,Cadburys,Confectionery,£0.35,31.53%,11.5,18.08,NO,NA,05-10-2022
590351,Grenade White Chocolate Salted Peanut Flavour 60g,60g × 12 × 1,12,60g,5060221205269	,Standard,Grenade,NO,https://www.bestwaywholesale.co.uk/img/products/1000/9/5060221205269.jpg,Chocolate Confectionery,Confectionery,£2.89,42.98%,19.77,21.14,NO,NA,05-10-2022
805531,Chupa Chups Incredible Chew Soft Candy Cola Flavour 45g,45g × 20 × 1,20,45g,18935001724558	,Standard,Chupa Chups,NO,https://www.bestwaywholesale.co.uk/img/products/1000/6/8935001726586.jpg,Kiddies Sweets,Confectionery,£0.69,36.35%,8.78,11.33,NO,NA,05-10-2022
809332,Winalot with Tuna in Jelly 400g,400g × 12 × 1,12,400g,8445290461216	,Standard,Winalot,NO,https://www.bestwaywholesale.co.uk/img/products/1000/3/8445290461223.jpg,Petfoods,Grocery,£1.15,22.18%,10.74,12.61,NO,NA,05-10-2022
771787,"Hula Hoops Big Hoops Salt & Vinegar Crisps 70g, £1 PMP",70g × 20 × 1,20,70g,5000237137505	,Standard,Hula Hoops,NO,https://www.bestwaywholesale.co.uk/img/products/1000/2/5000237137512.jpg,Crisps & Snacks,Grocery,£1.00,26.86%,14.63,17.55,NO,NA,05-10-2022
762993,Pringles Texas BBQ Sauce Crisps Can 40g PMP,40g × 12 × 1,12,40g,5053990164288	,Standard,Pringles,NO,https://www.bestwaywholesale.co.uk/img/products/1000/8/5053990164288.jpg,Crisps & Snacks,Grocery,£0.79,31.78%,6.47,8.1,NO,NA,05-10-2022
801263,Lynx Antiperspirant Deodorant for Men Africa 200 ML,200ml × 6 × 1,6,200ml,8720181259685	,Standard,Lynx,YES,https://www.bestwaywholesale.co.uk/img/products/1000/5/8720181259685.jpg,Toiletries,Grocery,£3.49,28.43%,14.99,15.85,NO,NA,05-10-2022
436767,Alberto Balsam Sunkissed Raspberry Shampoo 350 ml,350ml × 6 × 1,6,350ml,5012254059616	,Standard,Alberto Balsam,YES,https://www.bestwaywholesale.co.uk/img/products/1000/2/8717163635902.jpg,Toiletries,Grocery,£1.00,24.21%,4.55,5.46,NO,NA,05-10-2022
