Product Code,Desc,Wholesale Size,Order Size,Pack Size,Retail EAN,Vat Rate,Brand,Price Promo,Image URL,Subcat,Category,RSP,POR,Calculated Wholesale Price,Calculated Wholesale Price (Corrected VAT),Multi Buy,Multi Buy Mechanic,Date Scraped
216026,Jacob's Creek Brut Cuvée Sparkling White Wine 6 x 75cl,75Cl × 6,6,75Cl,29300727839002	,Standard,Jacob's Creek,YES,https://www.bestwaywholesale.co.uk/img/products/1000/2/29300727839002.jpg,White Wine,"Beers, Wines & Spirits",£9.99,23.95%,45.58,46.5,NO,NA,16-08-2022
213599,Hardys Stamp Chardonnay Semillon 750ml,75Cl × 6,6,75Cl,29311043024416	,Standard,Hardys,NO,https://www.bestwaywholesale.co.uk/img/products/1000/1/9311043042171.jpg,White Wine,"Beers, Wines & Spirits",£7.49,18.59%,36.59,37.56,NO,NA,16-08-2022
212852,Absolut Original Swedish Vodka 70cl,70Cl × 6,6,70Cl,17312040017680	,Standard,Absolut,YES,https://www.bestwaywholesale.co.uk/img/products/full/upl/722010.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£16.99,17.61%,83.99,84.98,NO,NA,16-08-2022
187487,White Star Refreshing Cider 2 Litres,2Ltr × 6 × 1,6,2Ltr,15060328920215	,Standard,White Star,NO,https://www.bestwaywholesale.co.uk/img/products/1000/1/5060328920171.jpg,Cider,"Beers, Wines & Spirits",£3.45,13.10%,17.99,19.03,NO,NA,16-08-2022
20909,Metaxa 7 Star 70cl,70Cl × 6,6,70Cl,25202795130057	,Standard,NA,NO,https://www.bestwaywholesale.co.uk/img/products/full/upl/20909.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£28.99,16.53%,145.19,146.19,NO,NA,16-08-2022
184874,Martell VS Cognac 144 x 3cl,3Cl × 12 × 12,12,3Cl,13219820005995	,Standard,Martell,NO,https://www.bestwaywholesale.co.uk/img/products/1000/5/13219820005995.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£2.09,27.44%,18.2,19.94,NO,NA,16-08-2022
206424,Jameson Triple Distilled Irish Whiskey 700ml,70Cl × 6,6,70Cl,15012461002198	,Standard,Jameson,NO,https://www.bestwaywholesale.co.uk/img/products/1000/5/5011007003005.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£23.99,15.67%,121.38,122.4,NO,NA,16-08-2022
191033,Martell VS Fine Cognac 35cl,35Cl × 6,6,35Cl,23219820002045	,Standard,Martell,YES,https://www.bestwaywholesale.co.uk/img/products/1000/5/3219820000115.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£17.99,22.19%,83.99,84.92,NO,NA,16-08-2022
189436,Black Tower Fruity White 75cl,75Cl × 6,6,75Cl,4069600001004	,Standard,Black Tower,YES,https://www.bestwaywholesale.co.uk/img/products/1000/4/40696164.jpg,White Wine,"Beers, Wines & Spirits",£6.49,19.91%,31.19,32.15,NO,NA,16-08-2022
180300,Newcastle Brown Ale 550ml Bottle,550ml × 12 × 1,12,550ml,5010118317827	,Standard,Newcastle Brown Ale,NO,https://www.bestwaywholesale.co.uk/img/products/1000/1/5010118317841.jpg,Beer,"Beers, Wines & Spirits",£2.55,27.88%,22.07,23.8,NO,NA,16-08-2022
179697,High Commissioner Blended Scotch Whisky 35cl,35Cl × 6,6,35Cl,4601684200012	,Standard,High Commissioner,NO,https://www.bestwaywholesale.co.uk/img/products/1000/9/5016840000129.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£9.19,18.41%,44.99,45.97,NO,NA,16-08-2022
179686,High Commissioner Blended Scotch Whisky 20cl,20Cl × 6,6,20Cl,5016840000068	,Standard,High Commissioner,YES,https://www.bestwaywholesale.co.uk/img/products/1000/8/5016840000068.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£5.99,25.24%,26.87,27.77,NO,NA,16-08-2022
177618,Grey Goose Orange Flavoured Vodka 700ml,70Cl × 6,6,70Cl,3259680007879	,Standard,Grey Goose,NO,https://www.bestwaywholesale.co.uk/img/products/1000/8/5010677860208.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£40.99,19.60%,197.74,198.7,NO,NA,16-08-2022
175689,MD 20/20 Strawberry 75cl,75Cl × 12,12,75Cl,15010319204060	,Standard,MD 20/20,NO,https://www.bestwaywholesale.co.uk/img/products/1000/3/5010319204063.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£9.49,20.67%,90.34,92.24,NO,NA,16-08-2022
175527,MD 20/20 Orange Jubilee 75cl,75Cl × 12,12,75Cl,15010319203063	,Standard,MD 20/20,NO,https://www.bestwaywholesale.co.uk/img/products/1000/6/5010319203066.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£9.49,20.67%,90.34,92.24,NO,NA,16-08-2022
174430,Cointreau Orange Liqueur Triple Sec 70cl,70Cl × 6,6,70Cl,13035542004203	,Standard,Cointreau,NO,https://www.bestwaywholesale.co.uk/img/products/1000/6/3035542004206.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£26.99,18.50%,131.98,132.96,NO,NA,16-08-2022
173386,Glen's Vodka 35cl,35Cl × 6,6,35Cl,5016840001119	,Standard,Glen's,NO,https://www.bestwaywholesale.co.uk/img/products/1000/9/5016840001119.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£8.59,19.23%,41.63,42.6,NO,NA,16-08-2022
165090,Eisberg Alcohol Free Cabernet Sauvignon 75cl,75Cl × 6,6,75Cl,4001744072823	,Standard,Eisberg,NO,https://www.bestwaywholesale.co.uk/img/products/1000/3/4001744072823.jpg,Red Wine,"Beers, Wines & Spirits",£4.59,20.31%,21.95,22.9,NO,NA,16-08-2022
164624,Jose Cuervo Especial Reposado Tequila 70cl,70Cl × 6,6,70Cl,1750103504213	,Standard,Jose Cuervo,NO,https://www.bestwaywholesale.co.uk/img/products/1000/1/7501035042131.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£23.99,17.47%,118.79,119.78,NO,NA,16-08-2022
163304,The Glenlivet Founder's Reserve Single Malt Scotch Whisky 70cl,70Cl × 6,6,70Cl,5000299609323	,Standard,The Glenlivet,NO,https://www.bestwaywholesale.co.uk/img/products/1000/7/5000299609347.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£36.49,13.87%,188.57,189.61,NO,NA,16-08-2022
162771,Grant's Triple Wood Blended Scotch Whisky 70cl,70Cl × 6,6,70Cl,5010327000374	,Standard,Grant's,NO,https://www.bestwaywholesale.co.uk/img/products/1000/4/5010327000404.jpg,Spirits & Fortified Wine,"Beers, Wines & Spirits",£17.49,19.97%,83.98,84.94,NO,NA,16-08-2022
