Region,Fascia,Source,Postcode,First Postcode,2 Digit Postcode,Talysis Id,Latitude,Longitude,Station,Owner,Rural/urban,London zone
Northern Ireland,COSTCUTTER,TCC,BT74 7DQ,BT74,BT,TCC-Z00053,54.34546,-7.639228,,,,
East of England,COSTCUTTER,TCC,SG19 1BN,SG19,SG,TCC-Z00055,52.13614,-0.2941359,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,HG4 2PE,HG4,HG,TCC-Z00468,54.12472,-1.53079,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,LS13 3ER,LS13,LS,TCC-Z00056,53.81175,-1.643271,,,,
London,COSTCUTTER,TCC,RM10 7LU,RM10,RM,TCC-Z00057,51.55673,0.1513393,,,,
East Midlands,COSTCUTTER,TCC,NN15 7DZ,NN15,NN,TCC-Z00058,52.39833,-0.7112745,,,,
South East England,COSTCUTTER,TCC,OX26 5DQ,OX26,OX,TCC-Z00059,51.89829,-1.117461,,,,
West Midlands,SIMPLYFRESH,TCC,B2 4DH,B2,B,TCC-Z00511,52.47813,-1.898659,,,,
West Midlands,SIMPLYFRESH,TCC,CV3 3FU,CV3,CV,TCC-Z00060,52.3841,-1.465746,,,,
East of England,Costcutter,TCC,CB23 7BP,CB23,CB,TCC-Z00547,52.18748,0.02121519,,,,
Yorkshire and the Humber,COSTCUTTER,TCC,YO23 1JJ,YO23,YO,TCC-Z00365,53.95166,-1.084633,,,,
Northern Ireland,COSTCUTTER,TCC,BT74 6DX,BT74,BT,TCC-Z00426,54.35632,-7.636057,,,,
East of England,COSTCUTTER,TCC,SG19 3AA,SG19,SG,TCC-Z00425,52.18776,-0.1431489,,,,
East Midlands,COSTCUTTER,TCC,DE75 7EG,DE75,DE,TCC-Z00472,53.01323,-1.353647,,,,
East of England,Costcutter,TCC,CB22 7PX,CB22,CB,TCC-Z00549,52.13834,0.08099432,,,,
East of England,SIMPLYFRESH,TCC,AL9 5AB,AL9,AL,TCC-Z00507,51.76389,-0.2155589,,,,
